Episode 015 | steps=100 | base= -2.20 | shaped= 8.52 | together= 3.8/step ( 96.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0410 | entropy=2.372 | saved
Episode 016 | steps=100 | base= -2.20 | shaped= 7.24 | together= 3.7/step ( 92.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0372 | entropy=2.439 | saved
Episode 017 | steps=100 | base= -2.30 | shaped= 7.62 | together= 3.7/step ( 93.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0463 | entropy=2.493 | saved
Episode 018 | steps=100 | base= -2.10 | shaped= 9.58 | together= 4.0/step ( 99.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0367 | entropy=2.363 | saved
Episode 019 | steps=100 | base= -2.20 | shaped= 8.84 | together= 3.9/step ( 97.0%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0356 | entropy=2.394 | saved
Episode 020 | steps=100 | base= -2.40 | shaped= 5.60 | together= 3.5/step ( 87.5%) | coal_bonus= 0.00 | coop_attackers= 0 | loss=-0.0537 | entropy=2.476 | saved



Episode 001 | steps=100 | base= -18.80 | shaped= 7.02 | together= 3.0/step ( 74.5%) | coal_bonus= 25.90 | coop_attackers= 74 | loss=-0.0074 | entropy=3.025 | saved 
Episode 002 | steps=100 | base= -27.00 | shaped= 35.58 | together= 2.7/step ( 68.0%) | coal_bonus= 63.70 | coop_attackers= 182 | loss=0.0664 | entropy=2.198 | saved 
Episode 003 | steps=100 | base= -42.00 | shaped= 102.00 | together= 4.0/step (100.0%) | coal_bonus= 140.00 | coop_attackers= 400 | loss=-0.0291 | entropy=0.427 | saved 
Episode 004 | steps=100 | base= -41.60 | shaped= 99.60 | together= 4.0/step (100.0%) | coal_bonus= 137.20 | coop_attackers= 392 | loss=-0.1252 | entropy=1.339 | saved 
Episode 005 | steps=100 | base= -41.30 | shaped= 97.10 | together= 4.0/step (100.0%) | coal_bonus= 134.40 | coop_attackers= 384 | loss=-0.1114 | entropy=1.368 | saved 
Episode 006 | steps=100 | base= -41.30 | shaped= 97.80 | together= 4.0/step (100.0%) | coal_bonus= 135.10 | coop_attackers= 386 | loss=-0.1048 | entropy=1.468 | saved 
Episode 007 | steps=100 | base= -40.70 | shaped= 94.20 | together= 4.0/step (100.0%) | coal_bonus= 130.90 | coop_attackers= 374 | loss=-0.1388 | entropy=1.702 | saved 
Episode 008 | steps=100 | base= -40.80 | shaped= 92.48 | together= 3.4/step ( 85.5%) | coal_bonus= 131.60 | coop_attackers= 376 | loss=-0.1570 | entropy=1.659 | saved 
Episode 009 | steps=100 | base= -41.80 | shaped= 100.80 | together= 4.0/step (100.0%) | coal_bonus= 138.60 | coop_attackers= 396 | loss=-0.1402 | entropy=1.774 | saved 
Episode 010 | steps=100 | base= -41.60 | shaped= 99.60 | together= 4.0/step (100.0%) | coal_bonus= 137.20 | coop_attackers= 392 | loss=-0.1358 | entropy=1.864 | saved 
Episode 011 | steps=100 | base= -40.60 | shaped= 90.46 | together= 3.0/step ( 76.0%) | coal_bonus= 130.90 | coop_attackers= 374 | loss=-0.1793 | entropy=1.896 | saved 
Episode 012 | steps=100 | base= -41.10 | shaped= 96.60 | together= 4.0/step (100.0%) | coal_bonus= 133.70 | coop_attackers= 382 | loss=-0.2498 | entropy=1.856 | saved 
Episode 013 | steps=100 | base= -40.90 | shaped= 95.40 | together= 4.0/step (100.0%) | coal_bonus= 132.30 | coop_attackers= 378 | loss=-0.2473 | entropy=1.989 | saved 
Episode 014 | steps=100 | base= -41.40 | shaped= 98.40 | together= 4.0/step (100.0%) | coal_bonus= 135.80 | coop_attackers= 388 | loss=-0.1620 | entropy=1.982 | saved 
Episode 015 | steps=100 | base= -41.30 | shaped= 97.80 | together= 4.0/step (100.0%) | coal_bonus= 135.10 | coop_attackers= 386 | loss=-0.1833 | entropy=2.035 | saved 
Episode 016 | steps=100 | base= -41.80 | shaped= 100.80 | together= 4.0/step (100.0%) | coal_bonus= 138.60 | coop_attackers= 396 | loss=-0.1641 | entropy=2.080 | saved 
Episode 017 | steps=100 | base= -41.50 | shaped= 99.00 | together= 4.0/step (100.0%) | coal_bonus= 136.50 | coop_attackers= 390 | loss=-0.2888 | entropy=2.106 | saved 
Episode 018 | steps=100 | base= -41.70 | shaped= 100.20 | together= 4.0/step (100.0%) | coal_bonus= 137.90 | coop_attackers= 394 | loss=-0.1588 | entropy=2.100 | saved 
Episode 019 | steps=100 | base= -41.80 | shaped= 100.80 | together= 4.0/step (100.0%) | coal_bonus= 138.60 | coop_attackers= 396 | loss=-0.1619 | entropy=2.103 | saved 
Episode 020 | steps=100 | base= -41.70 | shaped= 100.20 | together= 4.0/step (100.0%) | coal_bonus= 137.90 | coop_attackers= 394 | loss=-0.1662 | entropy=2.123 | saved



Episode 001 | steps=100 | base=   -2.50 | shaped=    1.06 | together=  3.9/step ( 97.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0301 | entropy=2.362 | saved
Episode 002 | steps=100 | base=   -2.10 | shaped=    0.99 | together=  3.7/step ( 93.5%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0303 | entropy=2.438 | saved
Episode 003 | steps=100 | base=   -2.20 | shaped=    0.71 | together=  3.7/step ( 92.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0347 | entropy=2.327 | saved
Episode 004 | steps=100 | base=   -2.10 | shaped=    0.31 | together=  3.5/step ( 88.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0246 | entropy=2.399 | saved
Episode 005 | steps=100 | base=   -2.10 | shaped=    1.61 | together=  3.9/step ( 98.0%) | coal_bonus=   0.00 | coop_attackers=    0 | loss=-0.0291 | entropy=2.425 | saved
Episode 006 | steps=100 | base=   -2.40 | shaped=    0.49 | together=  3.6/step ( 90.5%) | coal_bonus=   0.16 | coop_attackers=    2 | loss=-0.0322 | entropy=2.479 | saved
